controller,scenario,num_barrels,seed,pid,result
dwa,trashcans,3,0,3354,SUCCEEDED
eband,trashcans,5,0,3354,ABORTED
custom_dwa,trashcans,3,0,3508,SUCCEEDED
eband,trashcans,3,0,3304,SUCCEEDED
dwa,trashcans,5,0,3449,SUCCEEDED
teb,trashcans,3,0,3601,SUCCEEDED
baseLocalPlanner,trashcans,3,0,3558,TIMED_OUT
custom_dwa,trashcans,5,0,3283,SUCCEEDED
dwa,trashcans,7,0,3304,SUCCEEDED
teb,trashcans,5,0,3354,SUCCEEDED
custom_dwa,trashcans,7,0,3449,SUCCEEDED
eband,trashcans,7,0,3601,SUCCEEDED
baseLocalPlanner,trashcans,5,0,3408,TIMED_OUT
dwa,trashcans,3,1,3304,SUCCEEDED
teb,trashcans,7,0,3558,SUCCEEDED
custom_dwa,trashcans,3,1,3354,SUCCEEDED
baseLocalPlanner,trashcans,7,0,3508,TIMED_OUT
eband,trashcans,3,1,3449,SUCCEEDED
baseLocalPlanner,trashcans,3,1,3283,TIMED_OUT
teb,trashcans,3,1,3601,SUCCEEDED
dwa,trashcans,5,1,3304,SUCCEEDED
custom_dwa,trashcans,5,1,3558,SUCCEEDED
teb,trashcans,5,1,3508,SUCCEEDED
eband,trashcans,5,1,3354,SUCCEEDED
baseLocalPlanner,trashcans,5,1,3408,TIMED_OUT
dwa,trashcans,7,1,3283,SUCCEEDED
custom_dwa,trashcans,7,1,3601,SUCCEEDED
baseLocalPlanner,trashcans,3,2,3508,SUCCEEDED
eband,trashcans,7,1,3304,SUCCEEDED
teb,trashcans,7,1,3558,SUCCEEDED
dwa,trashcans,3,2,3354,SUCCEEDED
baseLocalPlanner,trashcans,7,1,3449,TIMED_OUT
eband,trashcans,3,2,3283,SUCCEEDED
custom_dwa,trashcans,3,2,3408,SUCCEEDED
dwa,trashcans,5,2,3304,SUCCEEDED
teb,trashcans,3,2,3601,SUCCEEDED
baseLocalPlanner,trashcans,5,2,3508,SUCCEEDED
custom_dwa,trashcans,5,2,3558,SUCCEEDED
eband,trashcans,5,2,3354,SUCCEEDED
teb,trashcans,5,2,3449,SUCCEEDED
dwa,trashcans,7,2,3408,SUCCEEDED
custom_dwa,trashcans,7,2,3304,SUCCEEDED
eband,trashcans,7,2,3601,SUCCEEDED
dwa,trashcans,3,3,3354,SUCCEEDED
custom_dwa,trashcans,3,3,3449,SUCCEEDED
teb,trashcans,7,2,3508,SUCCEEDED
eband,trashcans,3,3,3408,SUCCEEDED
baseLocalPlanner,trashcans,7,2,3283,TIMED_OUT
teb,trashcans,3,3,3304,SUCCEEDED
baseLocalPlanner,trashcans,3,3,3558,TIMED_OUT
dwa,trashcans,5,3,3354,SUCCEEDED
custom_dwa,trashcans,5,3,3449,SUCCEEDED
eband,trashcans,5,3,3508,SUCCEEDED
teb,trashcans,5,3,3408,SUCCEEDED
dwa,trashcans,7,3,3304,SUCCEEDED
custom_dwa,trashcans,7,3,3558,SUCCEEDED
baseLocalPlanner,trashcans,5,3,3601,TIMED_OUT
baseLocalPlanner,trashcans,3,4,3508,SUCCEEDED
eband,trashcans,7,3,3354,SUCCEEDED
dwa,trashcans,3,4,3408,SUCCEEDED
teb,trashcans,7,3,3449,SUCCEEDED
baseLocalPlanner,trashcans,7,3,3283,TIMED_OUT
custom_dwa,trashcans,3,4,3304,SUCCEEDED
eband,trashcans,3,4,3558,SUCCEEDED
teb,trashcans,3,4,3601,SUCCEEDED
dwa,trashcans,5,4,3354,SUCCEEDED
custom_dwa,trashcans,5,4,3408,SUCCEEDED
teb,trashcans,5,4,3283,SUCCEEDED
eband,trashcans,5,4,3449,SUCCEEDED
dwa,trashcans,7,4,3558,SUCCEEDED
custom_dwa,trashcans,7,4,3601,SUCCEEDED
baseLocalPlanner,trashcans,5,4,3508,TIMED_OUT
teb,trashcans,7,4,3408,SUCCEEDED
eband,trashcans,7,4,3354,SUCCEEDED
dwa,trashcans,3,5,3449,ABORTED
baseLocalPlanner,trashcans,7,4,3304,TIMED_OUT
custom_dwa,trashcans,3,5,3558,SUCCEEDED
eband,trashcans,3,5,3601,SUCCEEDED
teb,trashcans,3,5,3508,SUCCEEDED
dwa,trashcans,5,5,3354,SUCCEEDED
custom_dwa,trashcans,5,5,3449,SUCCEEDED
baseLocalPlanner,trashcans,3,5,3283,TIMED_OUT
teb,trashcans,5,5,3558,SUCCEEDED
eband,trashcans,5,5,3304,SUCCEEDED
dwa,trashcans,7,5,3508,SUCCEEDED
custom_dwa,trashcans,7,5,3354,SUCCEEDED
baseLocalPlanner,trashcans,5,5,3408,TIMED_OUT
eband,trashcans,7,5,3449,SUCCEEDED
dwa,trashcans,3,6,3304,SUCCEEDED
teb,trashcans,7,5,3283,SUCCEEDED
custom_dwa,trashcans,3,6,3508,SUCCEEDED
baseLocalPlanner,trashcans,7,5,3601,TIMED_OUT
teb,trashcans,3,6,3408,SUCCEEDED
dwa,trashcans,5,6,3304,SUCCEEDED
eband,trashcans,3,6,3354,SUCCEEDED
custom_dwa,trashcans,5,6,3283,SUCCEEDED
baseLocalPlanner,trashcans,3,6,3558,TIMED_OUT
teb,trashcans,5,6,3601,SUCCEEDED
eband,trashcans,5,6,3508,SUCCEEDED
dwa,trashcans,7,6,3304,SUCCEEDED
custom_dwa,trashcans,7,6,3354,SUCCEEDED
baseLocalPlanner,trashcans,5,6,3449,TIMED_OUT
eband,trashcans,7,6,3283,SUCCEEDED
teb,trashcans,7,6,3558,SUCCEEDED
dwa,trashcans,3,7,3508,SUCCEEDED
custom_dwa,trashcans,3,7,3304,SUCCEEDED
baseLocalPlanner,trashcans,7,6,3408,TIMED_OUT
eband,trashcans,3,7,3354,SUCCEEDED
dwa,trashcans,5,7,3558,SUCCEEDED
custom_dwa,trashcans,5,7,3508,SUCCEEDED
teb,trashcans,3,7,3449,SUCCEEDED
baseLocalPlanner,trashcans,3,7,3601,TIMED_OUT
eband,trashcans,5,7,3304,SUCCEEDED
dwa,trashcans,7,7,3558,SUCCEEDED
teb,trashcans,5,7,3408,SUCCEEDED
baseLocalPlanner,trashcans,5,7,3283,TIMED_OUT
custom_dwa,trashcans,7,7,3508,SUCCEEDED
baseLocalPlanner,trashcans,3,8,3304,SUCCEEDED
eband,trashcans,7,7,3449,SUCCEEDED
baseLocalPlanner,trashcans,7,7,3354,TIMED_OUT
dwa,trashcans,3,8,3558,SUCCEEDED
custom_dwa,trashcans,3,8,3408,SUCCEEDED
teb,trashcans,7,7,3601,SUCCEEDED
eband,trashcans,3,8,3283,SUCCEEDED
teb,trashcans,3,8,3508,SUCCEEDED
dwa,trashcans,5,8,3449,SUCCEEDED
custom_dwa,trashcans,5,8,3354,SUCCEEDED
dwa,trashcans,7,8,3283,SUCCEEDED
eband,trashcans,5,8,3558,SUCCEEDED
teb,trashcans,5,8,3408,SUCCEEDED
custom_dwa,trashcans,7,8,3508,SUCCEEDED
baseLocalPlanner,trashcans,5,8,3304,TIMED_OUT
eband,trashcans,7,8,3449,SUCCEEDED
dwa,trashcans,3,9,3558,SUCCEEDED
teb,trashcans,7,8,3354,SUCCEEDED
custom_dwa,trashcans,3,9,3408,SUCCEEDED
baseLocalPlanner,trashcans,7,8,3601,TIMED_OUT
eband,trashcans,3,9,3508,SUCCEEDED
teb,trashcans,3,9,3304,SUCCEEDED
dwa,trashcans,5,9,3558,SUCCEEDED
custom_dwa,trashcans,5,9,3354,SUCCEEDED
eband,trashcans,5,9,3408,SUCCEEDED
baseLocalPlanner,trashcans,3,9,3283,TIMED_OUT
dwa,trashcans,7,9,3304,SUCCEEDED
teb,trashcans,5,9,3601,SUCCEEDED
custom_dwa,trashcans,7,9,3558,SUCCEEDED
baseLocalPlanner,trashcans,5,9,3449,TIMED_OUT
eband,trashcans,7,9,3354,SUCCEEDED
dwa,trashcans,3,10,3304,SUCCEEDED
custom_dwa,trashcans,3,10,3601,SUCCEEDED
teb,trashcans,7,9,3408,SUCCEEDED
baseLocalPlanner,trashcans,7,9,3508,TIMED_OUT
eband,trashcans,3,10,3558,SUCCEEDED
teb,trashcans,3,10,3449,SUCCEEDED
dwa,trashcans,5,10,3304,SUCCEEDED
custom_dwa,trashcans,5,10,3601,SUCCEEDED
baseLocalPlanner,trashcans,3,10,3283,TIMED_OUT
teb,trashcans,5,10,3508,SUCCEEDED
eband,trashcans,5,10,3408,SUCCEEDED
custom_dwa,trashcans,7,10,3304,SUCCEEDED
dwa,trashcans,7,10,3449,SUCCEEDED
baseLocalPlanner,trashcans,5,10,3354,TIMED_OUT
teb,trashcans,7,10,3283,SUCCEEDED
dwa,trashcans,3,11,3408,SUCCEEDED
eband,trashcans,7,10,3601,SUCCEEDED
baseLocalPlanner,trashcans,7,10,3558,TIMED_OUT
custom_dwa,trashcans,3,11,3304,SUCCEEDED
eband,trashcans,3,11,3449,SUCCEEDED
teb,trashcans,3,11,3354,SUCCEEDED
dwa,trashcans,5,11,3408,SUCCEEDED
baseLocalPlanner,trashcans,3,11,3508,TIMED_OUT
custom_dwa,trashcans,5,11,3601,SUCCEEDED
eband,trashcans,5,11,3558,SUCCEEDED
teb,trashcans,5,11,3304,SUCCEEDED
dwa,trashcans,7,11,3354,SUCCEEDED
custom_dwa,trashcans,7,11,3408,SUCCEEDED
baseLocalPlanner,trashcans,5,11,3283,TIMED_OUT
eband,trashcans,7,11,3508,SUCCEEDED
dwa,trashcans,3,12,3304,SUCCEEDED
teb,trashcans,7,11,3601,SUCCEEDED
custom_dwa,trashcans,3,12,3354,SUCCEEDED
baseLocalPlanner,trashcans,7,11,3449,TIMED_OUT
eband,trashcans,3,12,3408,SUCCEEDED
teb,trashcans,3,12,3283,SUCCEEDED
dwa,trashcans,5,12,3304,SUCCEEDED
custom_dwa,trashcans,5,12,3601,SUCCEEDED
baseLocalPlanner,trashcans,3,12,3558,TIMED_OUT
eband,trashcans,5,12,3354,SUCCEEDED
teb,trashcans,5,12,3449,SUCCEEDED
dwa,trashcans,7,12,3283,SUCCEEDED
baseLocalPlanner,trashcans,5,12,3508,TIMED_OUT
custom_dwa,trashcans,7,12,3304,SUCCEEDED
dwa,trashcans,3,13,3449,SUCCEEDED
teb,trashcans,7,12,3558,SUCCEEDED
custom_dwa,trashcans,3,13,3283,SUCCEEDED
baseLocalPlanner,trashcans,7,12,3408,TIMED_OUT
eband,trashcans,7,12,3601,SUCCEEDED
eband,trashcans,3,13,3508,SUCCEEDED
dwa,trashcans,5,13,3558,SUCCEEDED
teb,trashcans,3,13,3304,SUCCEEDED
baseLocalPlanner,trashcans,3,13,3354,TIMED_OUT
custom_dwa,trashcans,5,13,3283,SUCCEEDED
eband,trashcans,5,13,3408,SUCCEEDED
teb,trashcans,5,13,3601,SUCCEEDED
dwa,trashcans,7,13,3558,SUCCEEDED
custom_dwa,trashcans,7,13,3304,SUCCEEDED
baseLocalPlanner,trashcans,5,13,3449,TIMED_OUT
eband,trashcans,7,13,3354,SUCCEEDED
teb,trashcans,7,13,3283,SUCCEEDED
dwa,trashcans,3,14,3601,SUCCEEDED
custom_dwa,trashcans,3,14,3558,SUCCEEDED
baseLocalPlanner,trashcans,7,13,3508,TIMED_OUT
eband,trashcans,3,14,3304,SUCCEEDED
teb,trashcans,3,14,3449,SUCCEEDED
dwa,trashcans,5,14,3283,SUCCEEDED
custom_dwa,trashcans,5,14,3601,SUCCEEDED
baseLocalPlanner,trashcans,3,14,3408,TIMED_OUT
dwa,trashcans,7,14,3449,SUCCEEDED
baseLocalPlanner,trashcans,5,14,3354,TIMED_OUT
eband,trashcans,5,14,3558,SUCCEEDED
custom_dwa,trashcans,7,14,3283,SUCCEEDED
teb,trashcans,7,14,3408,SUCCEEDED
teb,trashcans,5,14,3508,TIMED_OUT
dwa,trashcans,3,15,3354,SUCCEEDED
baseLocalPlanner,trashcans,7,14,3304,TIMED_OUT
custom_dwa,trashcans,3,15,3558,SUCCEEDED
baseLocalPlanner,trashcans,3,15,3449,SUCCEEDED
eband,trashcans,3,15,3283,SUCCEEDED
eband,trashcans,7,14,3601,SUCCEEDED
teb,trashcans,3,15,3408,SUCCEEDED
dwa,trashcans,5,15,3354,SUCCEEDED
custom_dwa,trashcans,5,15,3304,SUCCEEDED
baseLocalPlanner,trashcans,5,15,3508,SUCCEEDED
dwa,trashcans,7,15,3601,SUCCEEDED
eband,trashcans,5,15,3558,SUCCEEDED
teb,trashcans,5,15,3449,SUCCEEDED
custom_dwa,trashcans,7,15,3408,SUCCEEDED
dwa,trashcans,3,16,3601,SUCCEEDED
eband,trashcans,7,15,3354,SUCCEEDED
custom_dwa,trashcans,3,16,3558,SUCCEEDED
teb,trashcans,7,15,3304,SUCCEEDED
eband,trashcans,3,16,3449,SUCCEEDED
baseLocalPlanner,trashcans,7,15,3283,TIMED_OUT
teb,trashcans,3,16,3408,SUCCEEDED
dwa,trashcans,5,16,3354,SUCCEEDED
custom_dwa,trashcans,5,16,3558,SUCCEEDED
baseLocalPlanner,trashcans,3,16,3508,TIMED_OUT
eband,trashcans,5,16,3304,SUCCEEDED
teb,trashcans,5,16,3449,SUCCEEDED
dwa,trashcans,7,16,3408,SUCCEEDED
custom_dwa,trashcans,7,16,3354,SUCCEEDED
baseLocalPlanner,trashcans,5,16,3601,TIMED_OUT
dwa,trashcans,3,17,3449,SUCCEEDED
eband,trashcans,7,16,3558,SUCCEEDED
teb,trashcans,7,16,3508,SUCCEEDED
baseLocalPlanner,trashcans,7,16,3283,TIMED_OUT
custom_dwa,trashcans,3,17,3408,SUCCEEDED
eband,trashcans,3,17,3354,SUCCEEDED
teb,trashcans,3,17,3601,SUCCEEDED
dwa,trashcans,5,17,3558,SUCCEEDED
baseLocalPlanner,trashcans,3,17,3304,TIMED_OUT
custom_dwa,trashcans,5,17,3508,SUCCEEDED
eband,trashcans,5,17,3283,SUCCEEDED
teb,trashcans,5,17,3408,SUCCEEDED
dwa,trashcans,7,17,3601,SUCCEEDED
baseLocalPlanner,trashcans,5,17,3449,TIMED_OUT
custom_dwa,trashcans,7,17,3558,SUCCEEDED
eband,trashcans,7,17,3304,SUCCEEDED
teb,trashcans,7,17,3508,SUCCEEDED
dwa,trashcans,3,18,3408,SUCCEEDED
baseLocalPlanner,trashcans,7,17,3354,TIMED_OUT
custom_dwa,trashcans,3,18,3601,SUCCEEDED
eband,trashcans,3,18,3449,SUCCEEDED
teb,trashcans,3,18,3558,SUCCEEDED
dwa,trashcans,5,18,3508,SUCCEEDED
baseLocalPlanner,trashcans,3,18,3283,TIMED_OUT
custom_dwa,trashcans,5,18,3408,SUCCEEDED
eband,trashcans,5,18,3354,SUCCEEDED
teb,trashcans,5,18,3601,SUCCEEDED
baseLocalPlanner,trashcans,5,18,3304,TIMED_OUT
custom_dwa,trashcans,7,18,3508,SUCCEEDED
dwa,trashcans,7,18,3558,SUCCEEDED
teb,trashcans,7,18,3408,SUCCEEDED
dwa,trashcans,3,19,3601,SUCCEEDED
baseLocalPlanner,trashcans,7,18,3449,TIMED_OUT
custom_dwa,trashcans,3,19,3304,SUCCEEDED
eband,trashcans,7,18,3283,TIMED_OUT
teb,trashcans,3,19,3558,SUCCEEDED
eband,trashcans,3,19,3508,SUCCEEDED
dwa,trashcans,5,19,3601,SUCCEEDED
baseLocalPlanner,trashcans,3,19,3354,TIMED_OUT
custom_dwa,trashcans,5,19,3449,SUCCEEDED
teb,trashcans,5,19,3283,SUCCEEDED
eband,trashcans,5,19,3304,SUCCEEDED
dwa,trashcans,7,19,3508,SUCCEEDED
baseLocalPlanner,trashcans,5,19,3408,TIMED_OUT
custom_dwa,trashcans,7,19,3601,SUCCEEDED
dwa,trashcans,3,20,3304,SUCCEEDED
baseLocalPlanner,trashcans,7,19,3558,TIMED_OUT
teb,trashcans,7,19,3449,SUCCEEDED
eband,trashcans,7,19,3354,SUCCEEDED
eband,trashcans,3,20,3408,SUCCEEDED
teb,trashcans,3,20,3601,SUCCEEDED
baseLocalPlanner,trashcans,3,20,3283,TIMED_OUT
dwa,trashcans,5,20,3558,SUCCEEDED
custom_dwa,trashcans,3,20,3508,TIMED_OUT
custom_dwa,trashcans,5,20,3449,SUCCEEDED
eband,trashcans,5,20,3354,SUCCEEDED
teb,trashcans,5,20,3408,SUCCEEDED
baseLocalPlanner,trashcans,5,20,3304,SUCCEEDED
dwa,trashcans,7,20,3283,SUCCEEDED
custom_dwa,trashcans,7,20,3558,SUCCEEDED
eband,trashcans,7,20,3508,SUCCEEDED
dwa,trashcans,3,21,3408,SUCCEEDED
baseLocalPlanner,trashcans,7,20,3601,TIMED_OUT
custom_dwa,trashcans,3,21,3304,SUCCEEDED
teb,trashcans,7,20,3449,SUCCEEDED
eband,trashcans,3,21,3283,SUCCEEDED
teb,trashcans,3,21,3558,SUCCEEDED
dwa,trashcans,5,21,3408,SUCCEEDED
baseLocalPlanner,trashcans,3,21,3354,TIMED_OUT
custom_dwa,trashcans,5,21,3601,SUCCEEDED
teb,trashcans,5,21,3449,SUCCEEDED
eband,trashcans,7,21,3354,ABORTED
eband,trashcans,5,21,3304,SUCCEEDED
dwa,trashcans,7,21,3558,SUCCEEDED
baseLocalPlanner,trashcans,5,21,3508,TIMED_OUT
custom_dwa,trashcans,7,21,3408,SUCCEEDED
baseLocalPlanner,trashcans,3,22,3449,SUCCEEDED
dwa,trashcans,3,22,3354,SUCCEEDED
custom_dwa,trashcans,3,22,3304,SUCCEEDED
baseLocalPlanner,trashcans,7,21,3283,TIMED_OUT
teb,trashcans,7,21,3601,SUCCEEDED
baseLocalPlanner,trashcans,5,22,3408,SUCCEEDED
teb,trashcans,3,22,3508,SUCCEEDED
eband,trashcans,3,22,3558,SUCCEEDED
dwa,trashcans,5,22,3449,SUCCEEDED
custom_dwa,trashcans,5,22,3354,SUCCEEDED
eband,trashcans,5,22,3304,SUCCEEDED
teb,trashcans,5,22,3283,SUCCEEDED
dwa,trashcans,7,22,3408,SUCCEEDED
custom_dwa,trashcans,7,22,3508,SUCCEEDED
eband,trashcans,7,22,3558,SUCCEEDED
teb,trashcans,7,22,3449,SUCCEEDED
baseLocalPlanner,trashcans,7,22,3601,SUCCEEDED
baseLocalPlanner,trashcans,3,23,3354,SUCCEEDED
dwa,trashcans,3,23,3304,SUCCEEDED
custom_dwa,trashcans,3,23,3283,SUCCEEDED
eband,trashcans,3,23,3408,SUCCEEDED
dwa,trashcans,5,23,3449,SUCCEEDED
teb,trashcans,3,23,3508,SUCCEEDED
custom_dwa,trashcans,5,23,3601,SUCCEEDED
eband,trashcans,5,23,3354,SUCCEEDED
teb,trashcans,5,23,3304,SUCCEEDED
dwa,trashcans,7,23,3408,SUCCEEDED
custom_dwa,trashcans,7,23,3449,SUCCEEDED
eband,trashcans,7,23,3508,SUCCEEDED
teb,trashcans,7,23,3601,SUCCEEDED
baseLocalPlanner,trashcans,5,23,3558,TIMED_OUT
dwa,trashcans,3,24,3304,SUCCEEDED
baseLocalPlanner,trashcans,7,23,3283,TIMED_OUT
custom_dwa,trashcans,3,24,3408,SUCCEEDED
dwa,trashcans,5,24,3558,SUCCEEDED
eband,trashcans,3,24,3449,SUCCEEDED
teb,trashcans,3,24,3508,SUCCEEDED
baseLocalPlanner,trashcans,3,24,3354,TIMED_OUT
custom_dwa,trashcans,5,24,3304,SUCCEEDED
eband,trashcans,5,24,3283,SUCCEEDED
teb,trashcans,5,24,3408,SUCCEEDED
baseLocalPlanner,trashcans,5,24,3601,TIMED_OUT
teb,trashcans,7,24,3304,SUCCEEDED
dwa,trashcans,3,25,3408,SUCCEEDED
baseLocalPlanner,trashcans,7,24,3558,TIMED_OUT
dwa,trashcans,7,24,3449,SUCCEEDED
custom_dwa,trashcans,7,24,3508,SUCCEEDED
custom_dwa,trashcans,3,25,3601,SUCCEEDED
